PlaceName,Sentence,Lat,Lng
Paris,14,48.85341,2.3488
Paris,16,48.85341,2.3488
Southampton,23,50.90395,-1.40428
Dominica,24,15.5,-61.33333
Paris,25,48.85341,2.3488
Vienna,25,48.20849,16.37208
London,25,51.50853,-0.12574
London,29,51.47267151,-0.119352639
Dominica,33,15.5,-61.33333
Southampton,35,50.90395,-1.40428
Australia,35,-25,135
Sargasso Sea,39,30,-60
Castries,66,13.9957,-61.00614
Birkhill,183,55.67405555,-2.69173853
Cardiganshire,269,52.25,-4
Bodelwyddan,271,53.26687224,-3.50078
Cardiff,274,51.48326492,-3.172436476
Bona Vista,342,15.34685,-61.3916
Bloomsbury,380,51.52583455,-0.118620763
Bona Vista,466,15.34685,-61.3916
Cambridge,774,52.22885323,0.126108943
Bona Vista,823,15.34685,-61.3916
Bona Vista,834,15.34685,-61.3916
Bridgetown,855,13.13299704,-59.58697701
Bloomsbury,865,51.52583455,-0.118620763
Buckingham Palace,908,51.50094,-0.14289
Bloomsbury,910,51.52583455,-0.118620763
England,924,52.16045,-0.70312
Westminster Abbey,953,51.49937,-0.12846
St Paul,959,51.51386,-0.0983
London,966,51.50853,-0.12574
Paris,987,48.85341,2.3488
Bloomsbury,1003,51.52228,-0.12252
London,1003,51.50853,-0.12574
Dominica,1016,15.5,-61.33333
Perse,1024,52.1808666,0.1365435
Perse,1026,52.1808666,0.1365435
Perse,1027,52.1808666,0.1365435
England,1034,52.16045,-0.70312
England,1054,52.16045,-0.70312
Perse,1070,52.1808666,0.1365435
West Indies,1076,18.59213924,-72.24046898
Dominica,1078,15.5,-61.33333
Perse,1093,52.1808666,0.1365435
Perse,1094,52.1808666,0.1365435
Sargasso Sea,1097,30,-60
Perse,1100,52.1808666,0.1365435
East Anglia,1105,52.61803277,1.244953383
Ely Cathedral,1154,52.3986643,0.2615903
England,1155,52.16045,-0.70312
Perse,1167,52.1808666,0.1365435
England,1168,52.16045,-0.70312
Girton,1222,52.23333,0.08333
Cambridge,1240,52.2,0.11667
Oxford,1240,51.75222,-1.25596
Europe,1257,48.8688,2.3539
West Indies,1275,18.59213924,-72.24046898
Switzerland,1276,47.00016,8.01427
Switzerland,1281,47.00016,8.01427
London,1292,51.50853,-0.12574
Dominica,1304,15.5,-61.33333
Roseau,1304,15.30174,-61.38808
West Indies,1304,18.59213924,-72.24046898
Gower Street,1309,52.03434791,-1.482440549
Dominica,1343,15.5,-61.33333
Morocco,1381,32,-6
Africa,1411,7.1881,21.09375
Cairo,1411,30.06263,31.24967
Africa,1415,7.1881,21.09375
Baker Street,1426,51.52322,-0.15778
Harrogate,1445,53.99078,-1.5373
Harrogate,1463,53.99444739,-1.534718401
Harrogate,1466,53.99444739,-1.534718401
Dominica,1469,15.5,-61.33333
Harrogate,1477,53.99444739,-1.534718401
St Asaph,1478,53.25815,-3.44524
Wales,1478,52.5,-3.5
Dominica,1479,15.5,-61.33333
Harrogate,1483,53.99444739,-1.534718401
River Elwy,1486,53.28333,-3.45
Wales,1506,52.5,-3.5
Britain,1507,53.59378,-1.86823
St Asaph,1507,53.25815,-3.44524
Bodelwyddan,1508,53.26687224,-3.492039385
River Elwy,1509,53.28333,-3.45
River Elwy,1512,53.28333,-3.45
London,1518,51.50853,-0.12574
Ramsgate,1553,51.33568,1.41797
Worthing,1555,50.82929951,-0.397209177
England,1560,52.16045,-0.70312
England,1565,52.16045,-0.70312
Yorkshire,1572,53.73935509,-1.685447216
Ramsgate,1579,51.33568,1.41797
England,1586,52.16045,-0.70312
Worthing,1599,50.82929951,-0.397209177
Ramsgate,1600,51.33568,1.41797
Sussex,1600,50.94316943,-0.455660887
England,1607,52.16045,-0.70312
England,1608,52.16045,-0.70312
Ritz,1627,51.507,-0.1414
Croydon,1628,51.37664,-0.10574
Accrington,1634,53.75379,-2.35863
Barnsley,1634,53.55,-1.48333
Blackburn,1634,53.75,-2.48333
Darlington,1634,54.52429,-1.55039
Dewsbury,1634,53.69076,-1.62907
Doncaster,1634,53.52285,-1.13116
Grimsby,1634,53.56539,-0.07553
Halifax,1634,53.71667,-1.85
Hanley,1634,53.02492,-2.17395
Harrogate,1634,53.99444739,-1.534718401
Huddersfield,1634,53.64904,-1.78416
Leeds,1634,53.79648,-1.54785
Oldham,1634,53.54051,-2.1183
Rochdale,1634,53.61766,-2.1552
Wakefield,1634,53.68331,-1.49768
Wigan,1634,53.52699643,-2.571549449
Wolverhampton,1634,52.59051597,-2.126117969
Paris,1686,48.85341,2.3488
Dominica,1734,15.5,-61.33333
Southsea,1776,50.79205,-1.08593
Bloomsbury,1798,51.52228,-0.12252
London,1798,51.50853,-0.12574
Southsea,1802,50.79205,-1.08593
Dominica,1806,15.5,-61.33333
Dominica,1809,15.5,-61.33333
England,1821,52.16045,-0.70312
Mount Clare,1827,51.4519367,-0.2509769
Roehampton,1827,51.45165,-0.24393
Eton,1828,51.48833,-0.60905
Oxford,1828,51.75222,-1.25596
Europe,1832,48.8688,2.3539
Charles Street,1834,51.508631,-0.1470248
Mount Clare,1834,51.4519367,-0.2509769
Bloomsbury,1866,51.52228,-0.12252
Charles Street,1885,51.508631,-0.1470248
Park Lane,1906,51.5086743,-0.1560599
Ritz,1906,51.507,-0.1414
Dominica,1919,15.5,-61.33333
Dominica,1949,15.5,-61.33333
England,1981,52.16045,-0.70312
Manchester,2009,53.48095,-2.23743
Paris,2925,48.85341,2.3488
Paris,2927,48.85341,2.3488
Paris,2935,48.85341,2.3488
Rue Lamartine,2937,48.8765442,2.3390781
Paris,2938,48.85341,2.3488
Paris,2944,48.85341,2.3488
Paris,2948,48.85341,2.3488
Paris,2962,48.85341,2.3488
Paris,2971,48.85341,2.3488
La Rotonde,2975,48.8419811,2.2939051
Rue Rabelais,2983,48.8709805,2.3102092
Paris,3004,48.85341,2.3488
Paris,3019,48.85341,2.3488
Paris,3043,48.85341,2.3488
Montmartre,3072,48.8861087,2.3346859
Cimetière de Bagneux,3109,48.8100642,2.3103265
Paris,3123,48.85341,2.3488
Vienna,3137,48.20849,16.37208
Paris,3138,48.85341,2.3488
Vienna,3138,48.20849,16.37208
VIENNA,3140,48.20849,16.37208
Vienna,3143,48.20849,16.37208
Ealing,3147,51.5250561,-0.4023939
Vienna,3149,48.20849,16.37208
Vienna,3155,48.20849,16.37208
Vienna,3160,48.20849,16.37208
Vienna,3198,48.20849,16.37208
Japan,3202,35.68536,139.75309
Wilton Place,3240,51.5020052,-0.1582704
Vienna,3250,48.20849,16.37208
Paris,3254,48.85341,2.3488
Vienna,3254,48.20849,16.37208
London,3296,51.50853,-0.12574
Paris,3298,48.85341,2.3488
Paris,3302,48.85341,2.3488
Rue Lamartine,3303,48.8765442,2.3390781
Rue Lamartine,3312,48.8765442,2.3390781
Paris,3315,48.85341,2.3488
Paris,3324,48.85341,2.3488
Paris,3377,48.85341,2.3488
Paris,3378,48.85341,2.3488
Vendome,3383,47.7994932,0.9945366
Paris,3385,48.85341,2.3488
Paris,3406,48.85341,2.3488
Paris,3408,48.85341,2.3488
Paris,3413,48.85341,2.3488
Paris,3422,48.85341,2.3488
Paris,3423,48.85341,2.3488
London,3423,51.50853,-0.12574
Vienna,3423,48.20849,16.37208
Paris,3433,48.85341,2.3488
Closerie des Lilas,3460,48.8401436,2.3338545
Italy,3463,42.83333,12.83333
Paris,3495,48.85341,2.3488
Paris,3497,48.85341,2.3488
Paris,3509,48.85341,2.3488
Paris,3553,48.85341,2.3488
Paris,3557,48.85341,2.3488
Montmartre,3562,48.8861087,2.3346859
Fifth Arrondissement,3564,48.8454437,2.3426113
Paris,3573,48.85341,2.3488
Paris,3643,48.85341,2.3488
Paris,3749,48.85341,2.3488
Serbia,3763,44.81892,20.45998
Paris,3768,48.85341,2.3488
Paris,3809,48.85341,2.3488
Monte Carlo,3823,43.73976,7.42732
La Napoule,3834,43.5456,6.9833333
Paris,3836,48.85341,2.3488
London,3836,51.50853,-0.12574
Paris,3851,48.85341,2.3488
Monte Carlo,3855,43.73976,7.42732
Paris,3858,48.85341,2.3488
PARIS,3861,48.85341,2.3488
Versailles,3865,48.82261467,1.964634776
London,3867,51.50853,-0.12574
Paris,3868,48.85341,2.3488
Paris,3875,48.85341,2.3488
London,3895,51.50853,-0.12574
Versailles,3909,48.82261467,1.964634776
Paris,3975,48.85341,2.3488
Rue Vavine,3979,48.8437711,2.3280965
28 Woodgrange Avenue,3999,51.509091,-0.28646
Mount Clare,4012,51.45159,-0.251412
Holland Park,4023,51.507797,-0.205572
England,4041,52.16045,-0.70312
London,4042,51.50853,-0.12574
Holland Park,4042,51.507797,-0.205572
Amsterdam,4044,52.37403,4.88969
London,4054,51.50853,-0.12574
London,4063,51.50853,-0.12574
Paris,4064,48.85341,2.3488
America,4087,39.76,-98.5
Holland Park,4109,51.507797,-0.205572
London,4111,51.50853,-0.12574
Amsterdam,4139,52.37403,4.88969
Holland Park,4227,51.507797,-0.205572
Bloomsbury,4227,51.52228,-0.12252
Bloomsbury,4232,51.52228,-0.12252
Wales,4253,52.5,-3.5
Paris,4314,48.85341,2.3488
Wardour Street,4326,51.51408,-0.134397
Dominica,4350,15.5,-61.33333
Dominica,4351,15.5,-61.33333
Dominica,4353,15.5,-61.33333
Dominica,4361,15.5,-61.33333
Roseau,4375,15.30174,-61.38808
Dominica,4384,15.5,-61.33333
Bloomsbury,4403,51.52228,-0.12252
Jamaica,4414,18.16667,-77.25
England,4435,52.16045,-0.70312
Paris,4450,48.85341,2.3488
Paris,4454,48.85341,2.3488
Montmartre,4459,48.86882,2.34565
Paris,4460,48.85341,2.3488
France,4479,46,2
Paris,4491,48.85341,2.3488
Paris,4499,48.85341,2.3488
Paris,4505,48.85341,2.3488
Paris,4513,48.85341,2.3488
Paris,4515,48.85341,2.3488
Paris,4517,48.85341,2.3488
Versailles,4517,48.8,2.13333
Taplow,4529,51.53299,-0.68682
Taplow,4530,51.53299,-0.68682
Taplow,4557,51.53299,-0.68682
Paris,4595,48.85341,2.3488
London,4595,51.50853,-0.12574
England,4610,52.16045,-0.70312
Germany,4615,51.5,10.5
Poland,4615,52,20
Germany,4617,51.5,10.5
France,4617,46,2
Britain,4617,54.75844,-2.69531
Thames,4618,51.49763,0.50812
Acton,4624,51.50901,-0.2762
Poland,4628,52,20
Germany,4629,51.5,10.5
England,4632,52.16045,-0.70312
Bircham Newton,4655,52.87358,0.66007
West Beckham,4657,52.91139,1.18186
Norfolk,4658,52.66667,1
West Beckham,4665,52.91139,1.18186
Cromer,4666,52.93123,1.29892
England,4681,52.16045,-0.70312
England,4685,52.16045,-0.70312
West Beckham,4687,52.91139,1.18186
Britain,4688,54.75844,-2.69531
England,4706,52.16045,-0.70312
Norwich,4719,52.62783,1.29834
Chapelfield,4720,52.62613,1.28911
Norwich,4721,52.62783,1.29834
Colchester,4726,51.88921,0.90421
Norfolk,4727,52.66667,1
England,4740,52.16045,-0.70312
Norfolk,4742,52.66667,1
Norwich,4746,52.62783,1.29834
Booton,4749,52.75582,1.14016
Norwich,4760,52.62783,1.29834
Paris,4762,48.85341,2.3488
Norwich,4787,52.62783,1.29834
Thorpe,4790,52.63585,1.3479
Bristol,4792,51.45523,-2.59665
Southampton,4792,50.91667,-1.38333
Norwich,4793,52.62783,1.29834
Coventry,4793,52.40656,-1.51217
Hamburg,4800,53.57532,10.01534
Dresden,4801,51.05089,13.73832
Thorpe,4803,52.63585,1.3479
France,4806,46,2
Bristol,4807,51.45523,-2.59665
Norfolk,4808,52.66667,1
Bristol,4809,51.45523,-2.59665
London,4813,51.50853,-0.12574
Gower,4819,51.57248,-4.09996
Wales,4820,52.5,-3.5
St Asaph,4820,53.25928,-3.44849
Gower,4821,51.57248,-4.09996
Wales,4827,52.5,-3.5
Gower,4831,51.57248,-4.09996
London,4837,51.50853,-0.12574
Steeles Road,4860,51.5456821,-0.1600173
Primrose Hill,4860,51.53934,-0.16102
Rhine/Holland,4865,52.25,5.75
France,4866,46,2
Belgium,4866,50.75,4.5
London,4868,51.606878,0.033921
London,4869,51.5456821,-0.1600173
Steeles Road,4879,51.5456821,-0.1600173
Primrose Hill,4880,51.53934,-0.16102
England,4898,52.16045,-0.70312
Sachsenhausen,4920,52.77876,13.23991
Sachsenhausen,4929,52.77876,13.23991
Sachsenhausen,4933,52.77876,13.23991
Dartmoor,4940,50.57191,-3.92069
Budleigh Salterton,4999,50.63103,-3.32939
Devonshire,5007,50.75,-3.75
Steeles Road,5016,51.5456821,-0.1600173
Steeles Road,5024,51.5456821,-0.1600173
35 Southend Road,5027,51.416331,-0.024337
England,5037,52.16045,-0.70312
Beckenham,5067,51.40878,-0.02526
Beckenham,5077,51.40878,-0.02526
Beckenham,5128,51.40878,-0.02526
Beckenham,5139,51.40878,-0.02526
35 Southend Road,5151,51.416331,-0.024337
Bromley,5151,51.41475,0.01167
Beckenham,5185,51.40878,-0.02526
Southend Road,5246,51.415454,-0.0271162
Beckenham,5265,51.40878,-0.02526
Beckenham,5266,51.40878,-0.02526
Poland,5285,52,20
Poland,5292,52,20
Amsterdam,5293,52.37403,4.88969
London,5303,51.50853,-0.12574
London,5306,51.50853,-0.12574
Beckenham,5361,51.40878,-0.02526
Beckenham,5361,51.40878,-0.02526
Beckenham,5367,51.40878,-0.02526
Beckenham,5375,51.40878,-0.02526
Southend Road,5405,51.415454,-0.0271162
Devon,5426,50.72997856,-3.715181112
Beckenham,5465,51.40878,-0.02526
Beckenham,5486,51.40878,-0.02526
Beckenham,5498,51.40878,-0.02526
London,5504,51.50853,-0.12574
Maidstone,5522,51.26667,0.51667
Maidstone,5523,51.26667,0.51667
Maidstone,5551,51.26667,0.51667
Paris,5552,48.85341,2.3488
Bloomsbury,5552,51.52228,-0.12252
Maidstone,5553,51.26667,0.51667
Maidstone,5645,51.26667,0.51667
London,5649,51.50853,-0.12574
Cornwall,5649,50.41667,-4.75
London,5657,51.50853,-0.12574
Bude,5663,50.82435,-4.5413
Cornwall,5663,50.41667,-4.75
Bude,5677,50.82435,-4.5413
Belair,5686,13.15,-59.55
Beckenham,5705,51.40878,-0.02526
London,5705,51.50853,-0.12574
Bude,5706,50.82435,-4.5413
Bude,5714,50.82435,-4.5413
Dominica,5795,15.5,-61.33333
Sargasso Sea,5803,30,-60
Dominica,5815,15.5,-61.33333
Dominica,5816,15.5,-61.33333
Beckenham,5836,51.40878,-0.02526
Bude,5850,50.82435,-4.5413
Cornwall,5862,50.41667,-4.75
Bude,5865,50.82435,-4.5413
Exeter,5868,50.7236,-3.52751
Cheriton Fitzpaine,5870,50.8468117,3.6195428
Devon,5870,50.72997856,-3.715181112
Cheriton Fitzpaine,5874,50.8468117,3.6195428
Cheriton Fitzpaine,5912,50.8468117,3.6195428
Tiverton,5914,50.90241,-3.49232
Tiverton,5942,50.90241,-3.49232
Devon,5943,50.72997856,-3.715181112
Cheriton Fitzpaine,6054,50.8468117,3.6195428
Beckenham,6071,51.40878,-0.02526
London,6071,51.50853,-0.12574
Paris,6081,48.85341,2.3488
Devon,6086,50.72997856,-3.715181112
Cheriton Fitzpaine,6100,50.8468117,3.6195428
London,6136,51.50853,-0.12574
London,6163,51.50853,-0.12574
Devon,6173,50.72997856,-3.715181112
Devon,6202,50.72997856,-3.715181112
Paris,6257,48.85341,2.3488
Dominica,6257,15.5,-61.33333
Bloomsbury,6299,51.52228,-0.12252
Dominica,6325,15.5,-61.33333
Cheriton Fitzpaine,6410,50.8468117,3.6195428
Exeter,6411,50.7236,-3.52751
Exeter,6420,50.7236,-3.52751
Exeter,6447,50.7236,-3.52751
